TS EVdW(kcal/mol)
10750000 81905.5455
10800000 82437.6546
10850000 81860.0030
10900000 82524.8702
10950000 82770.0126
11000000 82835.2577
11050000 82188.3965
11100000 81719.2005
11150000 82061.8774
11200000 82699.8616
11250000 82128.7525
11300000 82296.6377
11350000 82207.7503
11400000 81579.8679
11450000 81657.8904
11500000 82149.2215
11550000 81974.7010
11600000 82237.1495
11650000 82461.7958
11700000 83003.2315
11750000 82456.9183
11800000 82135.5997
11850000 81949.5256
11900000 82862.0430
11950000 82078.7712
12000000 82316.5020
12050000 81512.0506
12100000 81422.7766
12150000 81836.8818
12200000 81621.5354
12250000 82516.8469
12300000 82555.0670
12350000 82157.2194
12400000 82098.4919
12450000 82190.6740
12500000 81427.0298
12550000 82471.0710
12600000 82757.0877
12650000 81962.8039
12700000 82850.2677
12750000 81462.1889
12800000 82834.3407
12850000 81058.6413
12900000 82139.9436
12950000 82482.9218
13000000 82537.3013
13050000 82035.4085
13100000 81480.7936
13150000 81972.3887
13200000 81748.5322
13250000 82305.0609
13300000 82412.7467
13350000 82222.8506
13400000 82122.0828
13450000 82230.4383
13500000 81926.9091
13550000 81136.2924
13600000 82762.7814
13650000 82116.8484
13700000 83228.6081
13750000 82490.2448
13800000 82311.6317
13850000 81631.4846
13900000 82416.2811
13950000 81942.2220
14000000 81302.1652
14050000 81400.1354
14100000 82124.4798
14150000 82436.1792
14200000 82034.8627
14250000 82156.3040
14300000 82167.4104
14350000 82819.0480
14400000 82012.3812
14450000 81875.3834
14500000 82009.1719
14550000 81116.8426
14600000 81745.1095
14650000 82353.2089
14700000 81843.5352
14750000 82920.2469
14800000 81372.8738
14850000 81744.0153
14900000 81699.8927
14950000 82236.9274
15000000 82315.9917
15050000 81611.1786
15100000 82121.3173
15150000 82230.4960
15200000 82269.9850
15250000 81879.4434
15300000 81775.7803
15350000 83060.8221
15400000 81242.9780
15450000 81112.0382
15500000 81270.5014
15550000 83526.7205
15600000 82267.0863
15650000 81184.0319
15700000 81606.5628
15750000 80861.7222
15800000 81835.3353
15850000 82232.4935
15900000 81936.9393
15950000 81518.7535
16000000 81860.6909
16050000 82119.1725
16100000 82088.4839
16150000 81936.6358
16200000 81583.2271
16250000 82389.5541
16300000 81759.9760
16350000 82126.3921
16400000 81919.4812
16450000 82021.2623
16500000 81068.2603
16550000 82152.1011
16600000 81348.8633
16650000 82565.8360
16700000 81798.5434
16750000 82345.7104
16800000 81900.7290
16850000 82117.6889
16900000 80691.5412
16950000 82678.0950
17000000 82149.1700
17050000 81704.1682
17100000 82210.8778
17150000 82079.3206
17200000 81715.1137
17250000 82736.4784
17300000 82988.6076
17350000 82255.5737
17400000 81532.3188
