Frame	2_bonds	no_bonds	303_350
187	1.998258	3.870838	2.045034
188	1.976186	5.167477	2.041697
189	2.035641	4.814717	2.018100
190	2.086580	3.851019	2.036011
191	2.022742	3.675947	2.003919
192	2.072552	3.566476	2.028767
193	2.040968	4.068692	2.005141
194	2.140455	4.691643	2.070379
195	2.053150	4.917574	2.056575
196	1.963094	4.761302	2.046547
197	2.002839	4.769965	2.069546
198	2.082834	4.175562	2.011668
199	2.054925	4.271187	1.999164
200	2.068523	4.127493	2.078326
201	2.030957	4.346983	2.086190
202	2.023455	4.005791	2.058776
203	2.052286	5.556575	2.040363
204	1.968725	5.154675	1.989623
205	2.098468	5.075210	1.980580
206	1.974029	4.611119	1.992119
207	2.162548	4.196562	2.027373
208	2.022298	4.475335	2.052615
209	2.039478	5.034533	2.080335
210	2.049293	4.823925	2.003828
211	2.095478	4.391171	2.072559
212	2.001575	4.224424	1.997846
213	2.028848	4.730692	2.001267
214	2.094420	5.785709	2.073739
215	2.109209	5.024745	2.065837
216	2.036296	6.237788	2.000394
217	2.029560	5.094645	2.027392
218	2.067648	4.300504	2.057037
219	2.054196	4.401685	1.983503
220	2.007485	4.878357	2.051686
221	1.961456	4.892609	2.013042
222	2.035177	4.749889	2.047520
223	2.000187	5.930643	2.037078
224	1.944069	4.617353	2.067575
225	2.001184	5.206057	1.943457
226	2.131456	4.843957	2.049710
227	2.008968	4.120615	1.995730
228	2.059104	5.137955	2.017283
229	2.050916	4.303208	1.985212
230	1.986582	4.409571	1.991481
231	2.006941	4.687109	1.939265
232	2.033947	4.081775	2.077830
233	2.067564	4.476169	2.031478
234	2.026107	3.959931	2.005155
235	2.076535	4.171113	1.976294
236	2.016524	3.763917	1.991795
237	2.013016	4.529771	2.052187
238	2.116268	5.366414	2.060278
239	2.069698	4.936317	2.000861
240	2.059478	4.677786	1.992866
241	2.025670	5.070946	2.108273
242	2.022758	5.539948	2.067384
243	2.073169	5.142228	1.925559
244	2.057339	5.946169	1.979669
245	1.939013	5.381351	2.053307
246	2.060064	4.841034	2.030521
247	2.011085	5.708389	1.989184
248	2.129716	3.480710	1.979621
249	2.025011	4.547734	2.006200
250	2.013477	6.265551	1.956920
251	2.127996	5.042656	2.024012
252	2.012921	4.767548	1.996424
253	1.963020	4.986633	2.053978
254	2.017683	6.136627	2.018039
255	2.089588	4.235851	2.032083
256	2.073409	4.629841	2.040792
257	2.094704	4.749076	2.068460
258	1.978150	4.166383	2.022262
259	2.060575	5.246147	2.022698
260	2.037228	4.545820	2.020659
261	2.049092	6.997944	2.059000
262	1.990539	5.588850	1.977882
263	1.995490	4.824456	2.069755
264	2.018564	3.934047	2.077858
265	1.973091	5.252550	1.929157
266	1.920987	5.113112	2.065198
267	2.027039	4.941803	2.021421
268	2.079371	5.044809	2.033643
269	2.020953	4.878704	2.008559
270	2.026314	4.178609	2.041605
271	2.056686	4.348968	2.065500
272	2.033609	4.807452	2.017784
273	1.972160	4.301283	2.061754
274	2.032177	4.051703	2.008826
275	2.050162	4.367965	1.979184
276	2.082469	4.969403	2.032810
277	2.000445	5.761419	1.981028
278	2.048089	5.532238	2.032740
279	2.055642	5.480555	2.005973
280	2.033121	3.658644	1.984746
281	1.957308	5.953457	1.991971
282	2.056857	5.122553	2.083962
283	2.049400	5.195499	2.037634
