TS Eel(kcal/mol)
19100000 -1236981.9926
19150000 -1237759.7246
19200000 -1237475.1407
19250000 -1236380.9089
19300000 -1237341.1390
19350000 -1238034.4395
19400000 -1236552.3814
19450000 -1236809.1154
19500000 -1236597.4678
19550000 -1237632.7202
19600000 -1236467.9079
19650000 -1236618.7809
19700000 -1236502.7336
19750000 -1236195.4919
19800000 -1238082.2401
19850000 -1237053.2299
19900000 -1238021.2719
19950000 -1237372.8653
20000000 -1236443.5770
20050000 -1238351.0292
20100000 -1237576.2040
20150000 -1237282.3714
20200000 -1236609.0976
20250000 -1237981.5502
20300000 -1237202.1207
20350000 -1235544.4508
20400000 -1235928.0730
20450000 -1237478.5381
20500000 -1237155.6727
20550000 -1236196.4694
20600000 -1236104.3225
20650000 -1236129.7421
20700000 -1235865.0127
20750000 -1237271.6451
20800000 -1237061.2856
20850000 -1237575.2000
20900000 -1235791.2447
20950000 -1238125.5561
21000000 -1237405.3866
21050000 -1237321.5194
21100000 -1236815.5086
21150000 -1238010.3684
21200000 -1236773.6334
21250000 -1235772.3849
21300000 -1237619.5176
21350000 -1235037.8710
21400000 -1238030.8965
21450000 -1236081.5174
21500000 -1236506.6110
21550000 -1237793.0659
21600000 -1236035.8262
21650000 -1236485.4154
21700000 -1236158.2696
21750000 -1236637.1314
21800000 -1234865.9632
21850000 -1234856.1916
21900000 -1237408.9321
21950000 -1238122.3796
22000000 -1236831.0656
22050000 -1236426.6643
22100000 -1236045.6233
22150000 -1235165.6362
22200000 -1237061.9888
22250000 -1236833.8144
22300000 -1236842.4967
22350000 -1236499.5273
22400000 -1236715.4712
22450000 -1237152.0804
22500000 -1235901.8720
22550000 -1236819.4460
22600000 -1237326.7014
22650000 -1235771.8293
22700000 -1236097.4389
22750000 -1236251.0088
22800000 -1236016.2425
22850000 -1237771.6996
22900000 -1237233.2927
22950000 -1236118.3676
23000000 -1237494.8314
23050000 -1236441.5837
23100000 -1236929.8165
23150000 -1237908.4790
23200000 -1239213.8591
23250000 -1236651.4788
23300000 -1235316.4009
23350000 -1237263.0159
23400000 -1236127.9557
23450000 -1237428.0937
23500000 -1235698.9262
23550000 -1237482.9174
23600000 -1236177.0680
23650000 -1236085.4379
23700000 -1236645.8889
23750000 -1237220.4904
23800000 -1235404.0657
23850000 -1238432.7580
23900000 -1236911.0743
23950000 -1237647.5631
24000000 -1236849.7281
24050000 -1236980.6925
24100000 -1236180.8760
24150000 -1236555.7713
24200000 -1238140.2844
24250000 -1237110.7585
24300000 -1236140.8200
24350000 -1235458.0968
24400000 -1237538.4215
24450000 -1235971.8203
24500000 -1236571.2312
24550000 -1237425.0065
24600000 -1235839.5725
24650000 -1236916.4259
24700000 -1237169.7578
24750000 -1235980.9870
