Frame	2_bonds	no_bonds	303_350
1	2.172502279281616	1.5196512937545776	1.744979739189148
2	2.2679173946380615	2.123253583908081	1.9433985948562622
3	2.0630364418029785	2.08538556098938	2.223769187927246
4	2.1269097328186035	2.085683584213257	2.466270923614502
5	2.1588218212127686	2.3357229232788086	2.663115978240967
6	2.0568530559539795	2.292799711227417	2.7467660903930664
7	2.1801412105560303	2.249459743499756	2.9471631050109863
8	2.591249465942383	2.578113079071045	2.9111578464508057
9	3.0057435035705566	2.846280097961426	2.534881830215454
10	2.6576943397521973	2.358940362930298	2.5536844730377197
11	3.0172131061553955	2.4355835914611816	2.805373191833496
12	2.9192874431610107	2.7776432037353516	2.8418161869049072
13	2.7066304683685303	2.688368558883667	3.2839949131011963
14	2.695802927017212	3.014638900756836	4.300449371337891
15	2.6110501289367676	3.4959917068481445	4.454199314117432
16	2.670206069946289	3.7853527069091797	4.053788185119629
17	2.4637207984924316	3.975576877593994	3.2068707942962646
18	2.402371883392334	4.27023458480835	2.949756622314453
19	2.678051233291626	4.461745262145996	3.594804525375366
20	3.0445716381073	4.096766471862793	3.577951431274414
21	3.330791473388672	4.204591751098633	4.416110992431641
22	2.9162113666534424	4.081578731536865	4.440042495727539
23	2.9035134315490723	3.8680121898651123	4.447483062744141
24	3.000417947769165	4.399023532867432	4.580694198608398
25	2.722407579421997	4.240206718444824	5.073884963989258
26	2.915363311767578	4.246114730834961	5.079023361206055
27	3.542034864425659	4.441312789916992	5.601400375366211
28	3.6083755493164063	4.986753463745117	5.450338840484619
29	3.4190874099731445	4.306660175323486	5.3486199378967285
30	2.854895830154419	4.083281993865967	5.137393474578857
31	3.009756565093994	4.393421173095703	5.376552104949951
32	3.284661054611206	4.262279987335205	5.438676357269287
33	3.031386137008667	4.068406105041504	5.5840559005737305
34	2.8556885719299316	4.300229072570801	5.558912754058838
35	3.073390483856201	4.394532203674316	5.1219282150268555
36	3.2441587448120117	3.790891170501709	5.771297931671143
37	2.7914559841156006	3.937314033508301	5.05077600479126
38	2.7871038913726807	3.8401060104370117	4.942302227020264
39	3.0341010093688965	3.8046531677246094	4.852041721343994
40	3.019622325897217	3.5402913093566895	4.177008628845215
41	2.718332290649414	3.1199331283569336	3.9398603439331055
42	2.8457767963409424	3.2848117351531982	3.728893280029297
43	2.867608070373535	3.0843567848205566	3.802501916885376
44	2.685364246368408	2.8400371074676514	3.4478492736816406
45	2.5588088035583496	2.757572889328003	3.8777661323547363
46	2.7577950954437256	3.1180529594421387	4.350177764892578
47	3.191758155822754	3.5539541244506836	4.069936752319336
48	3.123631000518799	3.3336944580078125	3.7671940326690674
49	2.5908565521240234	3.5300686359405518	4.2327494621276855
50	2.9448623657226563	3.7635200023651123	4.525030612945557
51	2.869048833847046	3.4905035495758057	4.588807106018066
52	3.2921557426452637	3.4444475173950195	4.555389404296875
53	3.2083702087402344	3.309105634689331	4.3588104248046875
54	2.9816689491271973	3.603748321533203	3.9117767810821533
55	3.662564754486084	3.8214731216430664	3.577857732772827
56	3.3818585872650146	4.092896938323975	3.4481191635131836
57	3.8490490913391113	4.20298957824707	3.4979662895202637
58	3.285898208618164	4.339410781860352	3.933530569076538
59	3.3558154106140137	4.532319068908691	3.8557021617889404
60	3.3687522411346436	4.622713565826416	3.7589969635009766
61	3.848541736602783	4.556298732757568	4.037242412567139
62	3.678159475326538	4.570359706878662	3.863708019256592
63	3.3031599521636963	4.629359245300293	4.309262752532959
64	3.083224296569824	4.493528842926025	4.337913990020752
65	3.7038488388061523	4.51356315612793	4.41363525390625
66	3.557305335998535	4.450287818908691	4.008310794830322
67	3.556636095046997	4.384004592895508	3.8253681659698486
68	3.420879602432251	3.8688595294952393	4.233658313751221
69	3.6361305713653564	3.951249599456787	3.8565447330474854
70	3.605889081954956	4.290688514709473	4.148336887359619
71	3.7374958992004395	4.775555610656738	3.8183135986328125
72	3.56350040435791	5.000708103179932	3.575221538543701
73	3.14729905128479	4.403187274932861	3.2921600341796875
74	3.3902299404144287	4.779014587402344	3.666229009628296
75	3.6468539237976074	4.834659576416016	4.039449214935303
76	3.832832098007202	4.622041702270508	3.6398370265960693
77	3.7339394092559814	4.4680681228637695	3.8154306411743164
78	3.6053600311279297	4.44814395904541	4.014371871948242
79	3.974385976791382	4.544617176055908	3.4060850143432617
80	4.029083251953125	4.060210227966309	3.711179494857788
81	3.666576385498047	4.17282247543335	3.5574378967285156
82	3.72798490524292	3.996530294418335	3.9364218711853027
83	4.061687469482422	4.04049825668335	3.6762938499450684
84	3.75944185256958	3.830723285675049	3.6546075344085693
85	3.8771238327026367	3.6306025981903076	3.292529344558716
86	4.188841819763184	3.3919918537139893	3.766136407852173
87	4.235131740570068	4.12564754486084	3.7902772426605225
88	4.229158401489258	4.299008846282959	3.8040995597839355
89	4.810203552246094	4.141791343688965	3.6143622398376465
