Frame	2_bonds	no_bonds	303_350
1	1.6798031330108643	1.5017890930175781	1.5922513008117676
2	2.226439952850342	2.2187225818634033	1.9000262022018433
3	2.313035011291504	2.4584310054779053	2.1739723682403564
4	2.829423666000366	2.6178152561187744	2.509136915206909
5	3.184516668319702	2.7144930362701416	2.7456917762756348
6	3.4966299533843994	2.685075283050537	3.0360238552093506
7	3.778721332550049	3.024172306060791	3.153977155685425
8	4.077212333679199	3.3134939670562744	3.2546517848968506
9	4.139058589935303	3.507692813873291	3.1510729789733887
10	4.315788269042969	3.443723678588867	3.2441234588623047
11	4.6254191398620605	3.6127820014953613	3.046358585357666
12	4.493777275085449	3.6285674571990967	3.0744447708129883
13	4.346030235290527	3.683385133743286	3.2316789627075195
14	4.501461982727051	3.5405497550964355	3.6799588203430176
15	4.591178894042969	3.7329702377319336	3.8149924278259277
16	4.655514240264893	3.712352991104126	3.7543931007385254
17	4.690293788909912	4.043997287750244	3.8820292949676514
18	4.2628045082092285	4.000797271728516	3.9130287170410156
19	4.292688369750977	4.033193111419678	4.126734733581543
20	4.529740810394287	4.010951042175293	4.0936808586120605
21	4.687056064605713	4.1895432472229	4.434228897094727
22	4.797488689422607	4.146785259246826	4.5842604637146
23	4.983673572540283	4.283313751220703	4.662564277648926
24	5.226292610168457	4.26445198059082	4.5822272300720215
25	5.2901458740234375	4.115777969360352	4.603304386138916
26	5.311054706573486	4.099004745483398	5.101102828979492
27	5.479733943939209	3.969355583190918	4.942968845367432
28	5.270028591156006	4.218958377838135	4.923320293426514
29	5.357372760772705	4.238386154174805	4.862366199493408
30	5.498769283294678	4.062796115875244	4.727817535400391
31	5.360398292541504	4.197681427001953	4.768019199371338
32	5.4216742515563965	4.1943745613098145	5.183642864227295
33	5.572724342346191	3.9790167808532715	5.136523246765137
34	5.633725166320801	4.089182376861572	5.332524299621582
35	5.751036167144775	4.383212089538574	5.212433815002441
36	5.68096399307251	4.12899923324585	5.254549503326416
37	5.887124538421631	4.121840476989746	5.189864158630371
38	5.8951416015625	4.162509441375732	5.27247428894043
39	6.006944179534912	4.387356281280518	5.083499908447266
40	6.270440101623535	4.350541114807129	4.681923866271973
41	6.442825794219971	4.2921857833862305	4.901780128479004
42	6.454856872558594	4.4943413734436035	4.738261699676514
43	6.54893684387207	4.524198055267334	4.659950256347656
44	6.619208335876465	4.450428009033203	4.615992546081543
45	6.713700771331787	4.357363224029541	4.4474897384643555
46	6.893581390380859	4.246825218200684	4.600442409515381
47	7.007996559143066	4.390703201293945	4.623486518859863
48	6.744485855102539	4.461819171905518	4.616735458374023
49	6.537323951721191	4.503016948699951	4.7843017578125
50	6.7149481773376465	4.4150800704956055	4.808210372924805
51	6.529415607452393	4.298208236694336	5.002736568450928
52	6.398356914520264	4.280872821807861	5.017941474914551
53	6.40424919128418	4.18881368637085	4.996860027313232
54	6.575146675109863	4.2706732749938965	4.694508075714111
55	6.614834308624268	4.2985639572143555	4.766499042510986
56	6.927858829498291	4.483179092407227	4.863024711608887
57	7.242851257324219	4.584125995635986	4.78255558013916
58	7.272617340087891	4.609398365020752	5.003929615020752
59	7.2489237785339355	4.623885154724121	5.141603469848633
60	7.2817535400390625	4.625532627105713	4.9383745193481445
61	7.49127197265625	4.578286170959473	4.884142875671387
62	7.504318714141846	4.476141452789307	5.016926288604736
63	7.497974872589111	4.4342827796936035	5.188178539276123
64	7.590661525726318	4.578927516937256	5.44586181640625
65	7.662863254547119	4.3723955154418945	5.350289344787598
66	7.624334335327148	4.483310699462891	5.183149337768555
67	7.680488109588623	4.498484134674072	5.045057773590088
68	7.749606132507324	4.425495147705078	5.289453029632568
69	7.7793402671813965	4.256994724273682	5.16989278793335
70	7.782168388366699	4.340779781341553	5.227004051208496
71	7.841291427612305	4.549258232116699	5.397555351257324
72	7.870665550231934	4.582408905029297	5.4867353439331055
73	7.84304666519165	4.311683177947998	5.258344650268555
74	7.91750955581665	4.3614325523376465	5.256036281585693
75	8.136537551879883	4.369274139404297	5.499087333679199
76	8.302735328674316	4.307014465332031	5.505620956420898
77	8.445358276367188	4.291051387786865	5.462533473968506
78	8.470691680908203	4.447197914123535	5.579023838043213
79	8.349740028381348	4.371426105499268	5.511630535125732
80	8.417060852050781	4.446810722351074	5.5503644943237305
81	8.305817604064941	4.633106708526611	5.673906326293945
82	8.251676559448242	4.324193477630615	5.862067699432373
83	8.32286262512207	4.431210041046143	5.888551235198975
84	8.55294418334961	4.279246807098389	5.805305004119873
85	8.365092277526855	4.376708984375	5.812070846557617
86	8.582136154174805	4.398781776428223	5.877504825592041
87	8.965729713439941	4.515104293823242	6.003441333770752
88	8.780287742614746	4.3731889724731445	5.961425304412842
89	8.821749687194824	4.401029586791992	5.956017971038818
90	8.99738597869873	4.267718315124512	5.937386512756348
91	9.008028984069824	4.3358473777771	6.1977858543396
92	8.962899208068848	4.1523237228393555	6.255200386047363
93	8.905926704406738	4.213744640350342	6.317793846130371
94	8.95036792755127	4.286123752593994	6.24794340133667
95	8.983403205871582	4.529672622680664	6.463772773742676
96	8.902643203735352	4.714091777801514	6.168890953063965
97	8.51010799407959	4.837069988250732	6.298598766326904
98	8.611042022705078	4.811325550079346	6.343641757965088
99	8.511016845703125	4.489614009857178	6.378280162811279
100	8.392258644104004	4.514636039733887	6.344631671905518
101	8.258953094482422	4.453089237213135	6.666545867919922
102	8.492941856384277	4.3525495529174805	6.754510879516602
103	8.63451862335205	4.275886535644531	6.901325225830078
104	8.529409408569336	3.9915084838867188	6.788601398468018
105	8.61835765838623	4.245529651641846	6.712400913238525
106	8.50957202911377	4.300663471221924	6.613879203796387
107	8.598504066467285	4.248578071594238	6.5029096603393555
108	8.40310001373291	4.361998081207275	6.447295665740967
109	8.306285858154297	4.253279685974121	6.409292221069336
110	8.467024803161621	4.4843339920043945	6.455720901489258
111	8.419875144958496	4.482795715332031	6.444375991821289
112	8.473437309265137	4.453968048095703	6.574716567993164
113	8.568294525146484	4.251220703125	6.306631088256836
114	8.31065559387207	4.302270412445068	6.179828643798828
115	8.443216323852539	4.465516090393066	6.151794910430908
116	8.49580192565918	4.251548767089844	6.153024673461914
117	8.54218578338623	4.331665515899658	6.0873799324035645
118	8.467365264892578	4.220047473907471	6.317121505737305
119	8.190740585327148	4.160431861877441	6.254857540130615
120	8.077688217163086	4.153688907623291	6.169673919677734
121	8.18773365020752	4.295271396636963	5.878892421722412
122	7.867764472961426	4.237405776977539	6.148987293243408
123	7.708913803100586	4.210648059844971	5.986886501312256
124	7.833234786987305	4.370998382568359	5.945186614990234
125	7.785132884979248	4.516404151916504	6.135904788970947
126	7.568025588989258	4.614866733551025	6.20828104019165
127	7.6701860427856445	4.68376350402832	6.161563396453857
128	7.816960334777832	4.6415934562683105	6.081034183502197
129	7.8002448081970215	4.612687587738037	5.960896968841553
130	7.639965057373047	4.252603054046631	5.648246765136719
131	7.526625156402588	4.361889839172363	5.782264232635498
132	7.607530117034912	4.264682292938232	5.806644439697266
133	7.542002201080322	4.265631198883057	5.767652988433838
134	7.729294776916504	4.466039657592773	5.85554838180542
135	7.545422554016113	4.453639507293701	6.135534286499023
136	7.516537666320801	4.737109661102295	6.31931209564209
137	7.492677211761475	4.8881940841674805	6.3710737228393555
138	7.6133880615234375	4.926878452301025	6.465498447418213
139	7.81174898147583	5.0445051193237305	6.481370449066162
140	7.4316725730896	5.016005039215088	6.830069541931152
