TS EVdW(kcal/mol)
11100000 71444.2730
11150000 72696.1269
11200000 71215.8261
11250000 72277.8466
11300000 71722.6227
11350000 71963.9184
11400000 71508.1956
11450000 71527.2070
11500000 71344.9278
11550000 71853.1924
11600000 72011.7568
11650000 70956.6310
11700000 71971.8149
11750000 71983.1977
11800000 71922.3417
11850000 72186.4219
11900000 72074.5383
11950000 72161.6416
12000000 71883.2205
12050000 71442.4852
12100000 71343.1534
12150000 71676.7988
12200000 72486.9295
12250000 72157.6914
12300000 71749.8840
12350000 72014.5695
12400000 71331.7491
12450000 72084.7438
12500000 72015.6320
12550000 71576.0637
12600000 71032.4009
12650000 72549.9397
12700000 72140.5195
12750000 71905.2659
12800000 72246.8347
12850000 71496.3449
12900000 72650.8723
12950000 71679.0897
13000000 71947.9670
13050000 71064.7517
13100000 71378.7494
13150000 71915.1281
13200000 71369.4774
13250000 72137.0604
13300000 71716.6939
13350000 72150.6297
13400000 71786.2413
13450000 72132.4784
13500000 72046.7930
13550000 71312.5912
13600000 72856.4487
13650000 71952.4401
13700000 71732.4873
13750000 72474.0060
13800000 72592.6574
13850000 71379.1409
13900000 72045.0925
13950000 71577.4852
14000000 71247.1005
14050000 72525.3995
14100000 72363.2476
14150000 72494.7081
14200000 72382.5897
14250000 70985.3545
14300000 72350.4786
14350000 71702.4060
14400000 71854.4079
14450000 70801.7850
14500000 71907.1399
14550000 71996.9863
14600000 71451.5791
14650000 72537.0662
14700000 72338.5414
14750000 72414.8226
14800000 70827.1165
14850000 71283.8237
14900000 72171.1738
14950000 71635.9470
15000000 71322.6255
15050000 71320.8280
15100000 71393.9151
15150000 72341.3434
15200000 70548.6768
15250000 72137.0707
15300000 71960.6521
15350000 71861.8556
15400000 71729.2038
15450000 72196.7506
15500000 71946.6644
15550000 71610.9195
15600000 71665.8535
15650000 71387.4893
15700000 71971.4030
15750000 70911.9142
15800000 70674.7410
15850000 72309.8686
15900000 71522.7603
15950000 71514.7260
16000000 71710.4748
16050000 72226.1511
16100000 72251.5856
16150000 71904.5239
16200000 71923.0588
16250000 71071.4020
16300000 71610.2648
16350000 70937.9977
16400000 72097.9943
16450000 72127.2770
16500000 72168.7781
16550000 71721.2067
16600000 72069.3089
16650000 72178.5132
16700000 71308.7150
16750000 71444.8460
16800000 71729.0871
16850000 71623.4054
16900000 71556.8880
16950000 71671.8914
17000000 71012.8868
17050000 70829.7586
17100000 71479.6809
17150000 72101.9276
17200000 71599.7141
17250000 72312.6011
17300000 71173.9617
17350000 71118.0176
17400000 72017.0098
17450000 71327.6195
17500000 70964.5212
17550000 71911.4549
17600000 70974.3897
17650000 71336.4081
17700000 71731.9141
