Frame	2_bonds	no_bonds	303_350
1	3.2617721557617188	1.9038187265396118	2.2278151512145996
2	3.02966570854187	2.771425724029541	3.055386543273926
3	2.997509241104126	2.665752410888672	3.8602664470672607
4	3.2448012828826904	2.8149821758270264	3.633608818054199
5	3.4131178855895996	3.326089382171631	4.458581447601318
6	2.7123847007751465	2.840762138366699	4.440671920776367
7	2.9967844486236572	3.2144341468811035	3.9387316703796387
8	4.2996368408203125	4.017359256744385	4.076724052429199
9	5.358535289764404	4.421774864196777	3.5828535556793213
10	4.260149955749512	2.9565770626068115	3.5771989822387695
11	5.311925411224365	3.0774476528167725	4.70509147644043
12	4.799749851226807	3.5727880001068115	4.5818400382995605
13	4.3511881828308105	3.88542103767395	5.538612365722656
14	4.36117696762085	4.126902103424072	7.978433609008789
15	4.099838733673096	5.658870697021484	8.496133804321289
16	3.4106967449188232	5.7301177978515625	8.263714790344238
17	3.323982000350952	6.548795700073242	6.427276611328125
18	3.078953742980957	6.896305561065674	5.624648094177246
19	4.0374250411987305	7.226077556610107	7.081195831298828
20	4.7746148109436035	6.322230815887451	7.220977783203125
21	5.856703281402588	6.951878070831299	9.193815231323242
22	4.175055503845215	6.423915863037109	9.084006309509277
23	4.002888202667236	6.097670078277588	8.524434089660645
24	4.116970062255859	7.817791938781738	8.740864753723145
25	4.221552848815918	7.65723180770874	9.809627532958984
26	4.665833473205566	7.149528503417969	9.498745918273926
27	5.964621067047119	8.131443977355957	9.854626655578613
28	6.23787260055542	9.39150333404541	9.431197166442871
29	5.960699081420898	7.522462368011475	9.489968299865723
30	4.6128997802734375	7.287167072296143	9.548298835754395
31	5.623157024383545	7.786841869354248	9.901300430297852
32	6.106056213378906	7.558051109313965	9.709636688232422
33	5.5568437576293945	6.97956657409668	9.802204132080078
34	4.619080543518066	7.208341121673584	9.621373176574707
35	4.800013065338135	6.7588791847229	8.968914985656738
36	5.35882568359375	5.662984371185303	10.077895164489746
37	3.492088556289673	5.463723659515381	9.10445499420166
38	4.528684139251709	5.008560657501221	8.778436660766602
39	4.678579807281494	5.713780879974365	8.559773445129395
40	3.8608245849609375	4.792539119720459	7.35300350189209
41	2.8023529052734375	2.957355260848999	6.876955509185791
42	2.7978532314300537	2.6393818855285645	6.939748287200928
43	3.2828776836395264	3.2637901306152344	6.484287261962891
44	3.42000675201416	2.844775915145874	5.315888404846191
45	2.3427839279174805	3.0666046142578125	6.992336750030518
46	3.259164810180664	4.052320957183838	7.884055137634277
47	3.544219970703125	4.551124095916748	7.246368408203125
48	3.3103444576263428	4.233245372772217	6.417430400848389
49	3.1278939247131348	5.265456676483154	6.854984760284424
50	4.5886406898498535	5.990838050842285	7.998215198516846
51	4.655781269073486	4.694321155548096	8.07278823852539
52	6.161434650421143	4.229799747467041	8.18118667602539
53	5.143738746643066	4.251743316650391	7.346431255340576
54	5.581565856933594	4.979768753051758	5.927457809448242
55	6.588730335235596	5.4935173988342285	5.649042129516602
56	5.916356086730957	6.445200443267822	5.140607833862305
57	7.4574761390686035	6.886180400848389	5.181834697723389
58	6.001143455505371	7.432020664215088	6.611295700073242
59	5.873511791229248	7.8855204582214355	6.581252098083496
60	6.035411834716797	8.097294807434082	6.54476261138916
61	6.758615016937256	8.436059951782227	6.280465602874756
62	5.122253894805908	8.180619239807129	6.110747814178467
63	4.491568565368652	8.336307525634766	6.754662036895752
64	4.41208028793335	8.078328132629395	7.256414890289307
65	5.982932090759277	8.511282920837402	7.90610933303833
66	5.912177562713623	8.410562515258789	6.5018415451049805
