TS	2_bonds	no_bonds	303_350
4000000	-1347210.2429	-1236298.2670	-1346291.4639
4050000	-1347247.4343	-1238234.6211	-1342941.5074
4100000	-1347151.4124	-1236396.5893	-1344364.2991
4150000	-1346743.7311	-1237484.4122	-1344326.8044
4200000	-1347382.2567	-1236678.5245	-1344359.3446
4250000	-1347597.3721	-1236648.5867	-1344482.9710
4300000	-1347222.1067	-1237086.7947	-1344238.4066
4350000	-1346828.9284	-1237082.5577	-1344587.1561
4400000	-1347926.2075	-1237084.7195	-1343277.5482
4450000	-1345036.3241	-1235043.6026	-1344671.7449
4500000	-1347420.7819	-1238578.8157	-1344423.0096
4550000	-1347843.9597	-1238071.6051	-1342882.3600
4600000	-1347912.6666	-1236487.7919	-1345605.0249
4650000	-1346507.7746	-1237312.0185	-1345828.2598
4700000	-1347889.2106	-1235340.3070	-1342606.4224
4750000	-1345909.6313	-1237169.9650	-1344450.1885
4800000	-1346858.3756	-1237489.4155	-1345010.2305
4850000	-1347746.7741	-1236694.1298	-1344159.0662
4900000	-1347664.8288	-1237626.9162	-1344547.7355
4950000	-1347100.8731	-1237169.7991	-1343553.6730
5000000	-1348004.5157	-1236015.8014	-1343480.8794
5050000	-1348948.6540	-1235917.3804	-1343852.3398
5100000	-1346581.0880	-1236176.8396	-1345011.9168
5150000	-1347957.3747	-1235283.9711	-1346150.4225
5200000	-1347026.8660	-1235856.6795	-1345547.5781
5250000	-1347586.7956	-1237248.6086	-1345161.5964
5300000	-1349149.7553	-1236833.0553	-1343506.9066
5350000	-1348408.3939	-1235981.0938	-1343985.7527
5400000	-1347849.6929	-1236905.0955	-1343751.5253
5450000	-1347042.9809	-1238262.4590	-1342755.4849
5500000	-1348151.7206	-1236075.4255	-1344709.5624
5550000	-1346366.8918	-1236683.2828	-1343530.5193
5600000	-1347903.9687	-1238297.1931	-1346067.7200
5650000	-1347554.1642	-1235908.9083	-1344288.3128
5700000	-1346979.2462	-1237394.3728	-1345220.8534
5750000	-1348372.2767	-1237421.2888	-1344190.5947
5800000	-1346476.5449	-1236008.5877	-1344236.9250
5850000	-1347797.7314	-1236030.6234	-1344383.3395
5900000	-1346977.5479	-1237103.9029	-1344145.7909
5950000	-1346539.4094	-1237433.3997	-1344332.0741
6000000	-1346985.6757	-1235686.7619	-1345169.8586
6050000	-1346937.5051	-1236053.8456	-1344332.6226
6100000	-1347193.2331	-1235744.5060	-1344675.7991
6150000	-1346643.7123	-1238701.7589	-1344614.9499
6200000	-1347890.3713	-1237053.9648	-1345265.0278
6250000	-1348522.7294	-1235657.9917	-1345720.5822
6300000	-1346976.4658	-1235886.5895	-1345710.7719
6350000	-1348257.4081	-1236769.2741	-1343460.9453
6400000	-1347978.6626	-1235985.0251	-1345114.2446
6450000	-1346320.1360	-1237712.1076	-1345358.9772
6500000	-1348619.8764	-1237311.1848	-1344796.0380
6550000	-1349002.5625	-1236992.7178	-1343992.1391
6600000	-1348146.9660	-1236930.8194	-1344421.6557
6650000	-1347504.4434	-1237348.8400	-1342933.7276
6700000	-1346409.8233	-1236900.0701	-1342814.9808
6750000	-1348270.2980	-1237491.7107	-1344553.2023
6800000	-1347768.4265	-1237189.2904	-1345203.9546
6850000	-1346903.1893	-1235481.0738	-1343899.7115
6900000	-1347806.7117	-1237456.4506	-1343684.4359
6950000	-1348021.5305	-1238107.6608	-1344790.4362
7000000	-1347799.1810	-1237572.6825	-1344451.2159
7050000	-1346948.0442	-1236167.2814	-1342995.8958
7100000	-1345700.5647	-1235677.9144	-1344727.7735
7150000	-1347182.1437	-1237014.2267	-1344841.6899
7200000	-1347997.2192	-1238212.6148	-1344358.3423
7250000	-1347362.2370	-1236451.0506	-1344207.4991
7300000	-1346714.5882	-1236412.4895	-1344024.0509
7350000	-1348018.1200	-1236341.1229	-1343640.6217
7400000	-1348198.7309	-1237480.1614	-1343004.7056
7450000	-1347908.6717	-1235471.5084	-1344215.0819
7500000	-1347627.9573	-1237510.9661	-1344301.9026
7550000	-1347367.3461	-1236406.1379	-1344199.0682
